codigo_sku,nome_peca,fabricante,quantidade_estoque,localizacao_corredor,preco_venda
SCR-52966-X,Bateria 60Ah Monroe - Compass,Monroe,148,COR-8-A,884.61
SCR-19851-A,Disco de Freio Bosch - Palio,Bosch,35,COR-11-C,995.43
SCR-71042-X,Junta Homocinética Nakata - Gol G5,Nakata,33,COR-4-B,1125.01
SCR-77754-X,Palheta Moura - Compass,Moura,16,COR-9-C,498.92
SCR-90978-A,Amortecedor Bosch - Civic,Bosch,59,COR-8-C,1198.67
SCR-23936-B,Vela de Ignição Cofap - Hilux,Cofap,107,COR-13-B,1088.69
SCR-49964-A,Disco de Freio Nakata - Compass,Nakata,4,COR-7-A,958.56
SCR-69775-B,Radiador Nakata - Compass,Nakata,35,COR-11-B,1006.9
SCR-62083-B,Sensor de Oxigênio Nakata - Corolla,Nakata,119,COR-1-C,446.16
SCR-37487-B,Lâmpada H4 Nakata - Corolla,Nakata,62,COR-6-A,682.68
SCR-66090-X,Pastilha de Freio Bosch - Hilux,Bosch,61,COR-7-B,217.42
SCR-33833-A,Sensor de Oxigênio Moura - Onix,Moura,51,COR-2-B,1193.49
SCR-39289-X,Bateria 60Ah Fram - Hilux,Fram,124,COR-12-A,968.64          
SCR-52420-B,Radiador Moura - Gol G5,Moura,97,COR-5-A,55.13
SCR-86384-X,Bomba d'Água Nakata - Civic,Nakata,20,COR-8-C,647.15
SCR-88330-X,Correia Dentada Fram - Onix,Fram,59,COR-15-B,826.66
SCR-11340-B,Junta Homocinética Moura - Gol G5,Moura,106,COR-4-A,1177.5
SCR-61639-A,Pastilha de Freio Moura - Onix,Moura,91,COR-11-B,1186.62
SCR-52176-X,Junta Homocinética Magneti Marelli - Onix,Magneti Marelli,60,COR-10-B,485.36
SCR-97615-B,Bateria 60Ah Cofap - Civic,Cofap,19,COR-15-A,372.82
SCR-16559-X,Pastilha de Freio Nakata - HB20,Nakata,30,COR-2-C,881.21
SCR-83714-B,Correia Dentada Nakata - Hilux,Nakata,27,COR-11-C,627.69
SCR-72029-X,Correia Dentada Magneti Marelli - Compass,Magneti Marelli,5,COR-7-C,1044.45
SCR-49930-X,Bateria 60Ah Fram - Hilux,Fram,12,COR-8-A,896.04
SCR-25984-A,Vela de Ignição Magneti Marelli - Corolla,Magneti Marelli,70,COR-7-C,918.34
SCR-65657-X,Filtro de Óleo Magneti Marelli - Onix,Magneti Marelli,49,COR-8-B,63.9
SCR-74386-B,Lâmpada H4 Bosch - Onix,Bosch,149,COR-9-C,870.73
SCR-65028-X,Amortecedor Nakata - Civic,Nakata,105,COR-15-C,996.13
SCR-86169-B,Cabo de Vela Moura - Fiat Uno,Moura,102,COR-14-C,160.89
SCR-74824-B,Sensor de Oxigênio Monroe - Hilux,Monroe,84,COR-10-B,442.99
SCR-78598-B,Junta Homocinética Moura - Fiat Uno,Moura,146,COR-7-B,171.54
SCR-57437-B,Junta Homocinética Moura - Corolla,Moura,84,COR-17-B,401.97
SCR-82349-X,Cabo de Vela NGK - Fiat Uno,NGK,86,COR-4-B,732.06
SCR-81475-B,Correia Dentada NGK - Civic,NGK,114,COR-9-B,1017.37
